"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
AU,"Adelaide Arpt",-34.93,138.52,27.89,25.18,20.34,13.51,9.69,7.94,8.35,12.34,16.71,21.93,25.70,27.32
AU,"Alice Springs Arpt",-23.80,133.90,28.76,26.41,24.61,21.52,16.61,14.49,16.59,19.29,23.27,26.09,26.73,27.18
AU,"Broome Arpt",-17.95,122.22,24.21,22.01,21.56,21.68,18.33,17.22,18.21,21.19,23.82,26.36,27.94,25.80
AU,"Cairns Arpt",-16.88,145.75,22.16,19.33,18.61,16.62,16.17,14.93,16.23,18.41,21.89,23.30,21.42,21.75
AU,"Cape Grim",-40.67,144.68,25.13,20.95,16.65,11.37,6.92,5.51,6.11,9.15,13.26,19.20,23.20,25.82
AU,"Cocos Island",-12.18,96.88,27.25,22.92,19.89,18.62,18.31,15.82,16.77,18.39,21.46,23.51,21.88,26.42
AU,"Darwin Arpt",-12.40,130.88,19.12,16.43,19.81,21.36,19.75,19.21,20.06,21.62,22.96,22.20,21.81,19.17
AU,"Geraldton Arpt",-28.78,114.70,29.37,27.28,22.84,17.76,12.70,11.48,12.01,15.35,19.90,25.00,28.40,30.60
AU,"Kalgoorlie Arpt",-30.77,121.45,27.55,24.67,20.44,16.41,11.96,10.90,11.50,15.10,19.97,24.95,26.73,29.79
AU,"Learmonth Arpt",-22.23,114.08,29.89,28.38,24.11,20.31,16.25,15.34,15.48,19.97,24.36,28.20,30.55,31.30
AU,"Melbourne Arpt",-37.67,144.83,23.57,20.81,17.35,12.18,8.15,6.39,7.20,10.09,14.09,18.39,21.37,23.98
AU,"Mildura Arpt",-34.23,142.08,29.39,25.31,22.09,16.26,10.74,8.84,9.53,13.01,17.45,22.79,26.42,29.33
AU,"Mount Gambier Arpt",-36.27,140.78,24.65,21.36,16.69,11.82,7.66,6.40,6.99,9.85,13.52,17.81,22.21,24.46
AU,"Rockhampton Arpt",-23.38,150.47,23.84,21.81,21.66,17.88,15.10,13.07,14.83,17.24,21.19,23.05,24.78,25.37
AU,"Tennant Creek Arpt",-19.63,134.17,25.33,23.52,23.66,21.82,19.48,17.00,18.31,21.21,23.69,24.14,25.11,24.51
AU,"Wagga Wagga Arpt",-35.15,147.45,27.98,24.94,21.12,15.13,10.54,7.49,8.14,11.90,16.75,22.22,25.28,28.67
