"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
CN,Beijing,39.80,116.47,7.90,10.99,14.46,17.44,19.81,18.36,16.95,15.82,14.07,11.08,8.11,6.79
CN,Chengdu,30.67,104.02,4.34,5.89,8.45,11.22,13.18,12.56,13.02,12.78,8.64,6.56,4.87,3.75
CN,Guangzhou,23.17,113.33,8.69,8.26,8.18,9.56,12.42,12.63,14.88,13.95,13.84,13.38,11.67,9.87
CN,Harbin,45.75,126.77,5.47,9.12,13.32,16.28,19.06,20.86,18.30,16.47,14.64,9.73,6.41,4.54
CN,Kunming,25.00,102.65,13.73,16.76,18.77,20.54,18.31,15.54,14.28,15.16,14.32,12.49,12.37,12.41
CN,Lanzhou,36.05,103.88,7.64,10.81,14.35,16.98,19.56,20.34,19.58,18.03,13.77,10.92,8.12,6.74
CN,Shanghai,31.40,121.45,7.54,9.63,11.66,14.69,16.83,14.75,17.28,16.32,14.45,11.63,8.62,7.38
CN,Shenyang,41.73,123.52,6.97,10.52,13.94,16.67,19.19,18.86,17.02,16.30,15.01,11.08,7.51,6.01
CN,Urumqi,43.78,87.65,5.40,8.12,12.97,17.92,21.88,23.47,21.85,20.19,16.49,11.18,6.27,4.68
CN,Wenjiang,30.70,103.83,5.17,6.89,9.84,12.84,13.62,13.97,14.01,13.18,9.69,6.99,6.03,4.94
CN,Wuhan,30.62,114.13,6.81,8.26,10.63,13.49,15.87,15.49,17.31,16.20,14.13,10.42,8.39,6.72
CN,Yuzhong,35.87,104.15,9.65,13.07,15.33,18.85,20.71,21.31,19.92,18.05,13.54,11.70,10.44,8.93
