"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
FR,Agen,44.17,0.58,4.62,8.08,13.59,16.01,19.84,22.14,22.59,19.44,14.52,10.13,5.42,3.83
FR,Ajaccio,41.92,8.78,6.43,9.84,14.70,18.54,23.12,26.40,26.59,22.75,17.44,11.89,7.11,5.31
FR,Auxerre,47.80,3.53,3.43,5.73,10.34,14.59,18.44,20.81,20.49,17.90,12.51,7.94,3.88,2.63
FR,Bastia,42.55,9.48,6.39,10.03,13.96,18.01,21.98,24.42,25.35,21.31,16.18,10.96,6.93,5.32
FR,Besançon,47.23,5.98,3.46,5.25,9.85,14.39,17.51,20.56,21.41,17.84,11.95,8.80,3.72,2.27
FR,Bordeaux,44.82,-0.68,4.74,7.50,12.26,16.12,19.41,22.15,21.41,18.91,14.85,9.53,5.41,3.97
FR,Bourges,47.07,2.35,3.77,6.21,11.29,15.58,19.07,21.74,20.90,18.04,13.61,8.31,4.32,2.92
FR,Brest,48.43,-4.40,3.26,5.72,9.53,14.68,17.46,19.97,18.34,15.91,12.93,7.40,4.05,2.88
FR,Caen,49.17,-0.45,3.43,5.75,9.68,14.72,17.64,20.14,19.04,16.26,12.25,7.21,4.10,2.73
FR,Carcassonne,43.20,2.28,5.52,8.20,13.38,16.18,20.23,23.03,23.30,21.15,15.00,10.13,6.07,4.24
FR,Carpentras,44.07,5.05,6.15,9.01,15.38,18.06,21.92,26.36,26.53,22.55,16.41,10.99,6.74,4.68
FR,"Clermont - Ferrand",45.78,3.13,4.45,7.13,11.92,15.63,18.57,21.22,21.13,18.10,13.90,8.79,4.92,3.45
FR,Dijon,47.27,5.08,3.65,6.52,11.24,15.93,19.18,22.12,21.10,17.83,13.49,8.05,4.24,2.86
FR,Embrun,44.57,6.50,6.85,10.73,15.45,18.70,21.31,24.83,24.92,21.21,16.62,11.01,7.06,5.59
FR,"La Roche-sur-Yon",46.70,-1.37,3.97,7.24,11.62,15.89,19.35,22.31,21.63,18.92,13.01,8.86,4.39,3.04
FR,Limoges,45.85,1.17,4.20,6.73,11.44,15.40,18.80,21.74,20.72,18.00,14.03,8.74,4.69,3.44
FR,"Lyon - Bron",45.72,4.93,3.75,6.18,12.03,21.13,23.03,19.75,20.39,20.02,15.14,9.04,4.59,2.75
FR,Macon,46.28,4.78,3.78,6.05,11.48,16.56,19.22,21.35,21.68,18.83,12.90,8.51,4.07,2.72
FR,"Marseille - Marignane",43.43,5.22,6.28,9.99,15.26,19.00,23.24,26.34,26.30,22.52,17.12,10.98,7.18,5.46
FR,Melun,48.60,2.67,2.84,4.24,11.65,17.91,23.01,19.83,18.23,17.13,13.16,8.19,3.92,2.55
FR,Millau,44.12,3.02,4.98,8.49,13.26,16.86,20.30,23.46,24.10,20.66,15.34,9.68,5.42,4.45
FR,Montauban,44.02,1.37,4.82,7.38,12.30,19.96,22.66,19.89,20.73,20.37,16.37,11.70,5.77,3.90
FR,Montelimar,44.57,4.72,4.86,8.28,13.25,17.60,21.44,24.41,24.38,20.64,15.55,9.45,5.71,4.08
FR,Montpellier,43.57,3.95,6.10,9.66,14.59,18.38,22.17,25.43,25.48,21.60,16.67,10.35,6.92,5.41
FR,"Nancy - Essey",48.68,6.22,3.15,5.52,9.88,15.19,18.39,20.94,19.88,17.16,11.99,7.22,3.45,2.35
FR,Nantes,47.15,-1.60,3.88,6.82,11.15,16.12,19.34,21.94,20.88,18.28,14.04,8.16,4.70,3.24
FR,Nice,43.63,7.20,6.36,9.82,14.61,18.31,22.44,25.49,25.44,22.08,16.52,10.86,6.84,5.15
FR,Niort,46.30,-0.40,4.03,6.42,12.12,19.96,23.09,21.43,20.77,17.28,14.05,8.93,5.05,3.07
FR,"Paris - Montsouris",48.82,2.33,2.87,4.75,10.49,14.91,18.67,20.01,19.50,16.82,11.91,7.83,3.55,2.35
FR,"Paris - Orly",48.72,2.38,2.74,5.04,9.69,15.46,17.83,20.29,19.24,16.24,12.40,7.12,3.42,2.07
FR,Pau,43.38,-0.40,5.02,8.14,12.88,16.01,18.55,20.79,19.96,17.64,13.89,10.44,5.81,4.33
FR,Perpignan,42.73,2.87,6.41,9.71,14.22,18.17,20.92,23.62,23.78,20.29,16.00,10.70,7.41,5.57
FR,Reims,49.30,4.05,3.15,5.35,9.85,15.01,18.55,20.56,19.46,16.55,12.21,7.17,3.59,2.35
FR,Rennes,48.07,-1.73,3.58,6.17,10.29,15.47,18.45,20.78,19.57,17.02,13.54,7.64,4.48,3.02
FR,Roissy-en-France,49.00,2.53,2.71,4.48,9.86,14.83,18.64,20.42,19.43,16.61,11.93,7.58,3.45,2.21
FR,Saint-Quentin,49.82,3.20,2.91,4.62,10.15,15.07,18.75,20.15,19.73,16.59,11.61,7.44,3.20,2.26
FR,St-Pierre,46.77,-56.17,3.56,6.43,11.08,14.78,18.28,19.16,17.12,15.67,12.97,7.85,4.15,2.68
FR,Strasbourg,48.53,7.63,3.20,5.76,9.91,15.29,18.31,21.06,19.55,16.78,12.32,7.10,3.53,2.35
FR,Tours,47.43,0.72,3.54,6.14,11.01,15.89,19.06,21.69,20.72,17.90,13.49,7.87,4.19,2.83
FR,Trappes,48.77,2.00,2.98,4.95,10.64,15.40,19.06,20.62,20.12,17.36,12.56,8.01,3.67,2.51
