"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
IN,Ahmadabad,23.07,72.63,16.16,19.54,22.24,24.45,24.07,20.37,14.86,14.36,18.34,18.51,16.13,14.67
IN,"Calcutta - Dum Dum",22.65,88.45,12.32,14.97,18.14,20.10,19.89,15.99,14.56,14.44,14.25,14.37,13.62,11.89
IN,"Chennai - Minambakkam",13.00,80.18,17.31,21.60,23.49,23.60,22.09,22.35,18.94,19.33,20.12,17.32,13.17,15.64
IN,"Goa - Panjim",15.48,73.82,18.80,21.57,22.72,23.87,23.17,14.56,14.47,15.03,17.48,18.74,18.43,17.91
IN,Jodhpur,26.30,73.02,15.80,18.86,21.83,25.28,25.65,23.41,19.45,17.39,20.67,20.01,16.26,14.27
IN,"Nagpur - Sonegaon",21.10,79.05,16.32,18.57,21.77,23.35,23.35,18.94,14.83,14.58,17.44,18.52,16.19,15.02
IN,Poona,18.53,73.85,17.66,20.85,23.39,25.11,25.53,18.76,15.78,15.08,17.36,19.14,17.70,16.68
IN,Shillong,25.57,91.88,15.14,16.39,19.49,19.19,17.66,15.30,14.20,15.69,13.97,14.26,14.72,12.91
IN,Trivandrum,8.48,76.95,18.64,20.54,20.95,19.46,18.10,16.92,16.14,17.88,18.46,16.55,14.83,16.10
IN,Vishakhapatnam,17.72,83.23,17.01,18.57,20.41,22.20,20.70,16.81,16.72,15.04,17.03,16.87,15.74,15.65
