"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
IT,Amendola,41.53,15.72,6.47,9.89,14.80,17.82,21.87,24.25,24.43,21.25,15.83,11.49,7.25,5.39
IT,"Bellavista Capo",39.93,9.72,6.50,10.18,14.49,17.59,21.77,23.96,24.46,20.83,15.84,11.73,7.27,5.71
IT,Brindisi,40.67,17.95,6.05,8.68,13.57,16.95,21.21,24.18,23.57,20.81,14.96,10.37,6.83,4.93
IT,"Cagliari - Elmas",39.25,9.07,7.31,9.91,15.27,17.89,22.12,26.23,25.39,22.50,17.37,12.96,7.83,6.23
IT,Campobasso,41.57,14.65,7.09,10.30,14.25,17.69,20.99,25.27,23.58,21.07,15.57,11.05,6.64,5.20
IT,Cervia,44.22,12.30,3.82,7.02,12.92,15.07,20.48,22.32,22.73,18.88,12.62,8.53,4.40,2.92
IT,"Cozzo Spadaro",36.68,15.13,8.39,12.14,16.02,19.58,24.20,24.98,24.51,21.59,17.08,13.54,9.38,7.71
IT,Dobbiaco,46.73,12.22,4.35,9.09,14.26,15.32,19.50,20.48,21.97,18.90,13.59,9.73,4.91,3.29
IT,"Elba - Monte Calamita",42.73,10.40,5.35,9.96,14.77,17.62,22.69,24.72,24.87,22.39,16.90,11.40,6.39,5.17
IT,Gela,37.08,14.22,8.87,12.07,16.90,19.90,25.08,26.19,26.07,23.23,18.11,14.04,9.78,7.60
IT,Grazzanise,41.05,14.07,7.11,10.21,14.78,17.16,22.20,25.53,24.73,22.43,17.03,13.28,7.88,5.16
IT,"Mele Capo",43.95,8.17,6.34,8.99,14.08,16.70,20.21,23.92,23.85,20.97,15.53,10.15,6.38,4.57
IT,Messina,38.20,15.55,7.39,11.10,15.77,18.86,23.79,26.10,26.46,23.18,17.14,13.02,8.07,6.23
IT,"Milano - Linate",45.43,9.28,3.94,6.11,12.16,15.53,17.75,18.74,19.64,17.21,11.85,6.93,4.00,2.66
IT,"Palinuro Capo",40.02,15.28,7.06,9.86,14.61,17.22,20.95,24.03,22.84,21.64,17.13,12.76,7.58,5.86
IT,Pantelleria,36.82,11.97,7.73,11.61,15.74,20.37,23.73,25.29,25.14,22.94,17.16,12.50,8.87,6.87
IT,Perugia,43.08,12.50,4.94,8.94,12.41,15.45,20.10,22.76,23.13,20.71,14.46,9.88,5.65,4.01
IT,Piacenza,44.92,9.73,4.23,7.39,12.92,16.11,20.01,21.20,22.25,18.95,14.05,8.85,4.58,3.14
IT,Pisa,43.68,10.38,5.64,8.86,13.54,16.46,21.74,25.19,24.81,21.27,15.45,9.97,6.11,4.47
IT,Ponza,40.92,12.95,6.92,10.51,15.96,18.64,23.78,25.30,26.94,23.02,17.32,12.64,7.56,5.74
IT,"Roma - Ciampino",41.80,12.55,5.92,9.07,13.48,16.27,20.94,23.09,23.33,19.76,14.69,10.22,6.11,4.55
IT,Terminillo,42.47,12.98,7.25,9.39,15.30,13.99,18.98,20.81,20.50,19.04,14.02,10.24,5.93,4.71
IT,Termoli,42.00,15.00,5.75,9.51,14.36,17.54,21.26,24.02,23.04,20.41,15.49,10.30,5.76,4.65
IT,Trieste,45.65,13.75,4.44,8.13,12.62,14.50,20.17,23.43,22.69,19.74,14.56,8.66,4.68,3.49
IT,"Udine - Rivolto",45.98,13.03,4.71,7.82,11.78,14.31,19.41,22.42,22.18,19.56,13.31,7.84,5.12,3.92
IT,Ustica,38.70,13.18,7.38,10.92,15.63,19.14,23.79,24.35,25.29,21.56,16.72,12.36,8.26,6.08
IT,"Verona - Villafranca",45.38,10.87,3.93,7.31,11.36,15.58,20.46,22.94,23.00,19.90,14.26,7.59,4.83,3.54
IT,"Vigna Di Valle",42.08,12.22,6.58,9.81,13.64,17.07,21.92,25.28,25.01,21.10,15.53,10.58,7.13,5.13
IT,Viterbo,42.43,12.08,6.89,9.72,14.53,16.62,22.91,25.18,25.76,21.75,16.53,10.96,6.90,5.02
