"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
JP,Akita,39.72,140.10,4.72,7.72,11.53,16.23,17.30,18.36,16.08,17.10,13.76,10.54,5.87,4.08
JP,Chichijima,27.10,142.18,10.96,13.62,15.60,17.27,18.06,21.76,22.78,20.72,18.33,15.46,11.98,10.00
JP,Fukuoka,33.58,130.38,7.44,10.54,13.64,16.96,18.23,16.30,17.31,17.93,15.08,12.68,9.22,7.17
JP,"Ishigaki Jima",24.33,124.17,8.81,10.99,13.39,16.24,18.41,20.98,22.84,20.77,18.18,14.38,11.23,9.17
JP,Kagoshima,31.55,130.55,8.90,11.71,14.08,16.80,17.95,14.65,18.94,19.29,16.43,13.57,10.41,8.88
JP,Matsumoto,36.25,137.97,9.70,12.70,15.74,18.65,20.08,18.80,19.26,19.72,14.46,12.36,9.95,8.65
JP,Minamitorishima,24.28,153.98,12.80,15.93,19.00,21.91,23.46,25.06,22.68,21.08,20.49,18.34,14.99,12.32
JP,Miyako,39.65,141.97,8.25,10.90,14.19,17.09,17.46,17.14,16.13,15.61,12.04,10.72,8.49,7.38
JP,Naha,26.20,127.68,8.86,10.56,12.91,15.50,16.58,18.42,21.09,19.33,17.33,14.05,10.92,9.23
JP,Nemuro,43.33,145.58,7.05,10.66,14.14,16.83,17.75,18.52,16.49,15.27,12.92,10.32,7.32,6.16
JP,Sapporo,43.07,141.33,6.12,8.94,12.76,16.03,17.97,18.86,16.55,15.95,13.34,9.60,6.16,5.07
JP,Shimizu,32.72,133.02,10.59,13.27,15.12,17.33,18.20,16.88,19.89,20.70,16.28,13.44,10.69,9.89
JP,Shionomisaki,33.45,135.77,10.54,13.19,15.84,17.92,18.56,16.57,19.45,20.54,15.97,12.65,10.42,9.85
JP,Tateno,36.05,140.13,9.88,12.21,14.66,17.15,16.91,14.94,17.14,16.75,13.26,10.59,8.91,8.59
JP,Wajima,37.40,136.90,4.65,7.56,12.04,16.94,18.63,17.31,16.44,18.21,13.24,10.82,6.53,4.37
JP,Yonago,35.43,133.33,6.57,8.97,13.05,17.17,19.46,18.38,18.11,19.35,14.45,12.19,8.32,6.27
