"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
UA,Chernihiv,51.50,31.30,3.35,5.94,9.90,13.68,17.89,18.29,18.11,15.84,10.33,6.12,3.28,2.48
UA,Dnipropetrovsk,48.45,34.98,4.21,6.80,10.19,14.22,19.30,20.34,20.74,17.93,12.78,7.96,4.21,3.24
UA,Donetsk,48.00,37.82,4.28,7.06,10.44,13.90,19.04,20.23,20.59,17.89,12.67,7.85,4.36,3.17
UA,Kharkiv,49.98,36.22,4.03,7.13,10.69,13.57,18.11,19.58,19.80,16.67,11.38,6.95,4.07,3.02
UA,Kherson,44.63,32.60,4.36,6.98,10.08,14.54,19.69,20.38,21.06,18.50,13.39,8.64,4.36,3.42
UA,Kiev,50.33,30.97,2.86,6.01,10.42,13.50,18.59,19.55,19.05,16.93,12.67,6.63,3.44,2.44
UA,"Krivyi Rih",47.92,33.35,4.39,6.77,10.22,14.11,18.97,20.09,20.45,17.75,12.38,7.88,4.25,3.42
UA,Luhansk,48.57,39.33,4.10,7.06,10.73,13.86,18.76,20.20,20.20,17.42,12.06,7.38,4.18,2.92
UA,Lviv,49.83,24.00,3.38,5.90,9.43,13.93,17.96,18.22,18.00,16.52,10.58,6.34,3.46,2.56
UA,Makiivka,48.03,37.97,4.28,7.06,10.44,13.90,19.04,20.23,20.59,17.89,12.67,7.85,4.36,3.17
UA,Mariupol,47.10,37.55,4.39,7.13,10.26,14.00,19.40,20.66,21.31,18.65,13.54,8.50,4.50,3.35
UA,Mykolaiv,46.97,32.00,4.36,6.98,10.08,14.54,19.69,20.38,21.06,18.50,13.39,8.64,4.36,3.42
UA,Odessa,46.48,30.63,3.67,6.40,11.28,16.12,21.17,21.60,21.15,20.89,15.17,9.22,5.03,3.05
UA,Poltava,49.58,34.57,4.00,6.80,10.48,13.54,18.07,19.48,19.55,16.49,11.23,6.98,3.89,3.13
UA,Sevastopol,44.60,33.53,4.39,6.98,10.44,15.26,20.02,21.31,22.75,19.58,14.72,9.32,4.93,3.42
UA,Simferopol,44.95,34.10,4.39,6.98,10.44,15.26,20.02,21.31,22.75,19.58,14.72,9.32,4.93,3.42
UA,Vinnytsia,49.23,28.48,4.07,6.73,10.04,13.82,18.18,19.19,18.86,16.81,11.27,7.13,4.14,3.38
UA,Zaporizhia,47.85,35.17,4.21,6.80,10.19,14.22,19.30,20.34,20.74,17.93,12.78,7.96,4.21,3.24
