id,place,lat,lon
1,"Barolo,Italy",44.6108408,7.9428448
2,"Monterey,US",36.600256,-121.8946388
3,"Piedmont,Italy",33.547545,-86.902243
4,"Lontue+Valley,Chile",-35.0549065,-71.2745634
5,"Monreale,Italy",38.0801239,13.2887208
6,"Macon-Aze,France",46.4321441,4.7602062
7,"San+Antonio+Valley,US",29.4246002,-98.4951405
8,"Burgundy,France",47.27808725,4.22248630430605
9,"Diano+d'Alba,Italy",44.6503104,8.0275084
10,"Napareuli,Georgia",41.9250208,45.4616866
11,"Strathbogie+Ranges,Australia",-37.8056262,145.3319978
12,"Santa+Ynez+Valley,US",34.608637,-120.104677421497
13,"Ribbon+Ridge,US",29.5685388,-98.7033549
14,"Saint-Peray,France",44.9454417,4.8430943
15,"San+Luis+Obispo,US",35.2827525,-120.6596156
16,"Walker+Bay,South+Africa",-34.5563889,19.3416667
17,"Fort+Ross-Seaview,US",0,0
18,"Sangiovese+di+Toscana,Italy",0,0
19,"Paardeberg,South+Africa",-28.9737214,25.0862166
20,"Coteaux+du+Lyonnais,France",45.6782926,4.6890095
21,"Egilias+Slopes,Greece",0,0
22,"Cotes+du+Roussillon+Villages+Caramany,France",0,0
23,"Valencia,Spain",39.4699014,-0.3759513
24,"South+Coast,US",32.7469891,-117.2516124
25,"Kumeu,New+Zealand",-36.7746685,174.5548889
26,"Santenay,France",46.9115071,4.6996302
27,"Paso+Robles+Willow+Creek+District,US",0,0
28,"Murray-Darling,Australia",-33.8888719,151.190283
29,"Sonoma+County-Monterey+County,US",0,0
30,"Offida+Passerina,Italy",0,0
31,"Circeo,Italy",41.232602,13.0891737
32,"Lake+County,US",42.3327033,-87.9939552
33,"Redwood+Valley,US",39.2654449,-123.2044496
34,"Retsina,Greece",37.9517536,23.6477047
35,"Gutturnio+Colli+Piacentini,Italy",0,0
36,"Dolcetto+di+Diano+d'Alba,Italy",0,0
37,"Tumbarumba,Australia",-35.7764898,148.010062
38,"Pays+d'Oc,France",43.604764,1.4540399
39,"Muscat+of+Kefallonian,Greece",0,0
40,"Sierra+Pelona+Valley,US",0,0
41,"Bardolino+Classico+Superiore,Italy",0,0
42,"Valdeorras,Spain",42.4161908,-6.983967
43,"Itata+Valley,Chile",-36.5576104,-72.6022911
44,"Vin+de+Liqueur,France",0,0
45,"McLaren+Vale-Adelaide+Hills,Australia",0,0
46,"Sannio,Italy",41.0693267,14.8524578
47,"Clear+Lake,US",44.7595585,-96.6826444421204
48,"Uruguay,Uruguay",-32.8755548,-56.0201525
49,"Boca,Italy",45.678969,8.408726
