id,place,lat,lon
1,"Rioja,Spain",42.3285528,-2.4674917
2,"Barolo,Italy",44.6108408,7.9428448
3,"Central+Coast,US",-33.3117096,151.3120675
4,"Piedmont,Italy",33.547545,-86.902243
5,"Lontue+Valley,Chile",-35.0549065,-71.2745634
6,"Monreale,Italy",38.0801239,13.2887208
7,"Macon-Aze,France",46.4321441,4.7602062
8,"Central+Coast,US",-33.3117096,151.3120675
9,"Burgundy,France",47.27808725,4.222486304
10,"Diano+d'Alba,Italy",44.6503104,8.0275084
11,"Napareuli,Georgia",41.9250208,45.4616866
12,"Strathbogie+Ranges,Australia",-37.8056262,145.3319978
13,"Central+Coast,US",-33.3117096,151.3120675
14,"Willamette+Valley,US",45.3442868,-122.6670374
15,"Saint-Peray,France",44.9454417,4.8430943
16,"Central+Coast,US",-33.3117096,151.3120675
17,"Walker+Bay,South+Africa",-34.5563889,19.3416667
18,"Sonoma,US",38.5110803,-122.8473388
19,"Sangiovese+di+Toscana,Italy",0,0
20,"Paardeberg,South+Africa",-28.9737214,25.0862166
21,"Coteaux+du+Lyonnais,France",45.6782926,4.6890095
22,"Egilias+Slopes,Greece",0,0
23,"Cotes+du+Roussillon+Villages+Caramany,France",0,0
24,"Valencia,Spain",39.4699014,-0.3759513
25,"South+Coast,US",32.7469891,-117.2516124
26,"Kumeu,New+Zealand",-36.7746685,174.5548889
27,"Santenay,France",46.9115071,4.6996302
28,"Central+Coast,US",-33.3117096,151.3120675
29,"Murray-Darling,Australia",-33.8888719,151.190283
30,"California+Other,US",39.3565832,-120.1821578
31,"Offida+Passerina,Italy",0,0
32,"Circeo,Italy",41.232602,13.0891737
33,"Lake+County,US",42.3327033,-87.9939552
34,"Mendocino/Lake+Counties,US",0,0
35,"Retsina,Greece",37.9517536,23.6477047
36,"Gutturnio+Colli+Piacentini,Italy",0,0
37,"Dolcetto+di+Diano+d'Alba,Italy",0,0
38,"Tumbarumba,Australia",-35.7764898,148.010062
39,"Pays+d'Oc,France",43.604764,1.4540399
40,"Muscat+of+Kefallonian,Greece",0,0
41,"South+Coast,US",32.7469891,-117.2516124
42,"Bardolino+Classico+Superiore,Italy",0,0
43,"Valdeorras,Spain",42.4161908,-6.983967
44,"Itata+Valley,Chile",-36.5576104,-72.6022911
45,"Vin+de+Liqueur,France",0,0
46,"McLaren+Vale-Adelaide+Hills,Australia",0,0
47,"Sannio,Italy",41.0693267,14.8524578
48,"Clear+Lake,US",44.7595585,-96.68264444
49,"Uruguay,Uruguay",-32.8755548,-56.0201525
50,"Boca,Italy",45.678969,8.408726
51,"Bramaterra,Italy",45.6312734,8.3012197
52,"Rose+de+Loire,France",47.1947627,2.3785761
53,"Lambrusco+Salamino+di+Santa+Croce,Italy",0,0
54,"Krk,Croatia",45.09019545,14.54966811
55,"Morellino+di+Scansano,Italy",42.71255365,11.2280516
56,"Napa,US",38.2971367,-122.2855293
57,"Coteaux+d'Aix-en-Provence,France",0,0
58,"Corbieres,France",48.421579,4.0481776
59,"Cuyo,Argentina",-38.6954269,-62.2812182
60,"Colli+di+Luni,Italy",0,0
61,"Mendocino/Lake+Counties,US",0,0
62,"San+Marino,Italy",45.8983636,11.6927814
63,"Haut-Poitou,France",44.7779286,-0.0573366
64,"Barbera+di+Piemonte,Italy",44.3641374,7.3660814
65,"Sancerre,France",47.3307251,2.8390333
66,"Valpolicella+Superiore+Ripasso,Italy",0,0
67,"Saint-Chinian,France",43.4215,2.94677
68,"Wellington,South+Africa",-33.643055,19.010556
69,"France+Other,France",0,0
70,"Lessona,Italy",45.5872701,8.1943371
71,"Central+Coast,US",-33.3117096,151.3120675
72,"Landwein+Rhein,Germany",0,0
73,"Waitaki+Valley,New+Zealand",-44.9129104,170.9916306
74,"North+Coast,US",-23.0053563,-43.3297952
75,"Colonia,Uruguay",-34.4698592,-57.8433679
76,"North+Coast,US",-23.0053563,-43.3297952
77,"Rapel+Valley,Chile",-33.9434247,-71.7380794
78,"Saint-Joseph,France",-21.3789306,55.6190645
79,"Luberon,France",43.83143,5.7752136
80,"Vin+Santo+di+Carmignano,Italy",0,0
81,"Erice,Italy",38.0374278,12.5869952
82,"North+Coast,US",-23.0053563,-43.3297952
83,"Custoza,Italy",45.376982,10.7962743
84,"Val+de+Loire,France",45.4399177,4.3878221
85,"Madeira,Portugal",32.75174875,-16.98175205
86,"Bonnezeaux,France",47.078553,-0.8367639
87,"North+Coast,US",-23.0053563,-43.3297952
88,"Torgiano,Italy",43.028542,12.44136
89,"Darling,South+Africa",-33.376426,18.379189
90,"Coteaux+de+Verdon,France",0,0
91,"Ilias,Greece",39.4591597,22.2130845
92,"Leverano,Italy",40.2894249,17.9994144
93,"Cafayate,Argentina",-26.071047,-65.9800655
94,"Vin+de+Pays+de+Vaucluse,France",0,0
95,"Negev+Hills,Israel",0,0
96,"Passito+di+Pantelleria,Italy",0,0
97,"Saint+Guilhem+le+Desert,France",43.734,3.54852
98,"Muscadet+Coteaux+de+la+Loire,France",0,0
