country,province,region_1,region_2
Spain,Northern Spain,Rioja,""
Italy,Piedmont,Barolo,""
US,California,Monterey,Central Coast
Italy,Piedmont,Piedmont,""
Chile,Lontué Valley,"",""
Italy,Sicily & Sardinia,Monreale,""
France,Burgundy,Mâcon-Azé,""
US,California,San Antonio Valley,Central Coast
France,Burgundy,"",""
Italy,Piedmont,Diano d'Alba,""
Georgia,Napareuli,"",""
Australia,Victoria,Strathbogie Ranges,""
US,California,Santa Ynez Valley,Central Coast
US,Oregon,Ribbon Ridge,Willamette Valley
France,Rhône Valley,Saint-Péray,""
US,California,San Luis Obispo,Central Coast
South Africa,Walker Bay,"",""
US,California,Fort Ross-Seaview,Sonoma
Italy,Tuscany,Sangiovese di Toscana,""
South Africa,Paardeberg,"",""
France,Beaujolais,Coteaux du Lyonnais,""
Greece,Egilias Slopes,"",""
France,Languedoc-Roussillon,Côtes du Roussillon Villages Caramany,""
Spain,Levante,Valencia,""
US,California,South Coast,South Coast
New Zealand,Kumeu,"",""
France,Burgundy,Santenay,""
US,California,Paso Robles Willow Creek District,Central Coast
Australia,Victoria,Murray-Darling,""
US,California,Sonoma County-Monterey County,California Other
Italy,Central Italy,Offida Passerina,""
Italy,Central Italy,Circeo,""
US,California,Lake County,""
US,California,Redwood Valley,Mendocino/Lake Counties
Greece,Retsina,"",""
Italy,Central Italy,Gutturnio Colli Piacentini,""
Italy,Piedmont,Dolcetto di Diano d'Alba,""
Australia,New South Wales,Tumbarumba,""
France,Languedoc-Roussillon,Pays d'Oc,""
Greece,Muscat of Kefallonian,"",""
US,California,Sierra Pelona Valley,South Coast
Italy,Veneto,Bardolino Classico Superiore,""
Spain,Northern Spain,Valdeorras,""
Chile,Itata Valley,"",""
France,France Other,Vin de Liqueur,""
Australia,South Australia,McLaren Vale-Adelaide Hills,""
Italy,Southern Italy,Sannio,""
US,California,Clear Lake,""
Uruguay,Uruguay,"",""
Italy,Piedmont,Boca,""
Italy,Piedmont,Bramaterra,""
France,Loire Valley,Rosé de Loire,""
Italy,Central Italy,Lambrusco Salamino di Santa Croce,""
Croatia,Krk,"",""
Italy,Tuscany,Morellino di Scansano,""
US,California,Napa,""
France,Provence,Coteaux d'Aix-en-Provence,""
France,Languedoc-Roussillon,Corbières,""
Argentina,Other,Cuyo,""
Italy,Northwestern Italy,Colli di Luni,""
US,California,Guenoc Valley,Mendocino/Lake Counties
Italy,Central Italy,San Marino,""
France,Loire Valley,Haut-Poitou,""
Italy,Piedmont,Barbera di Piemonte,""
France,Loire Valley,Sancerre,""
Italy,Veneto,Valpolicella Superiore Ripasso,""
France,Languedoc-Roussillon,Saint-Chinian,""
South Africa,Wellington,"",""
France,France Other,"",""
Italy,Piedmont,Lessona,""
US,California,Ben Lomond Mountain,Central Coast
Germany,Landwein Rhein,"",""
New Zealand,Waitaki Valley,"",""
US,California,Lake-Sonoma-Napa,North Coast
Uruguay,Colonia,"",""
US,California,Anderson Valley-Sonoma County-Cole Ranch,North Coast
Chile,Rapel Valley,"",""
France,Rhône Valley,Saint-Joseph,""
France,Rhône Valley,Luberon,""
Italy,Tuscany,Vin Santo di Carmignano,""
Italy,Sicily & Sardinia,Erice,""
