"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
DE,Arkona,54.68,13.43,1.56,3.57,8.22,14.93,16.98,19.72,21.64,17.31,9.23,6.17,2.45,1.35
DE,"Bad Lippspringe",51.78,8.83,2.64,4.56,7.80,12.41,15.81,17.75,17.44,15.68,9.44,5.82,2.53,1.73
DE,Bocholt,51.83,6.53,2.64,4.43,8.76,14.02,16.49,18.81,19.35,16.39,10.21,6.79,2.84,1.85
DE,Bochum,51.45,7.27,2.66,4.53,8.01,12.74,16.15,18.22,18.04,15.80,9.70,6.11,2.98,1.86
DE,Bonn,50.70,7.15,2.59,4.64,8.62,13.73,15.16,18.51,19.27,15.41,8.81,6.56,2.91,2.07
DE,Braunlage,51.73,10.60,2.56,4.73,7.78,12.63,16.29,18.31,17.57,15.58,9.18,5.49,2.48,1.87
DE,Braunschweig,52.30,10.45,2.37,4.61,8.48,14.06,17.46,19.83,18.35,15.43,10.94,6.33,2.70,1.77
DE,Bremen,53.05,8.80,2.33,4.25,8.11,12.64,16.32,17.28,18.98,16.30,9.39,5.98,2.72,1.73
DE,Chemnitz,50.80,12.87,3.15,5.43,9.01,12.70,18.58,18.37,20.86,17.24,10.68,6.82,3.28,2.45
DE,Coburg,50.27,10.95,2.89,5.42,9.19,13.62,18.16,19.58,19.04,17.33,10.70,6.20,2.77,2.14
DE,"Dresden - Klotzsche",51.13,13.75,3.01,4.82,8.87,14.79,18.32,19.82,18.82,15.52,11.53,6.87,3.14,2.24
DE,"Dresden - Wahnsdorf",51.12,13.68,2.45,5.07,8.40,12.00,17.56,17.54,22.45,16.91,10.54,7.35,2.99,1.97
DE,Freiburg,48.00,7.85,3.12,6.24,10.38,14.57,17.79,20.20,20.25,17.56,11.78,7.46,3.87,2.49
DE,Geisenheim,49.98,7.95,2.58,5.40,9.28,14.44,17.57,19.96,19.03,17.15,11.10,6.42,2.82,2.08
DE,Giessen,50.58,8.70,2.42,5.14,8.60,12.37,17.39,19.90,19.11,16.34,8.73,5.66,2.73,1.91
DE,Hamburg,53.63,10.00,1.76,3.69,8.42,13.87,16.00,18.30,18.86,14.03,10.73,5.87,2.47,1.44
DE,"Hamburg - Sasel",53.65,10.12,1.85,4.03,7.53,12.49,17.98,17.98,18.13,16.12,9.81,5.70,2.49,1.44
DE,Harzgerode,51.65,11.13,2.78,5.58,8.92,13.26,17.45,19.60,18.99,16.76,10.52,6.47,2.95,2.17
DE,Heiligendamm,54.15,11.85,1.93,4.13,8.47,14.96,17.76,18.86,21.15,17.07,9.88,6.41,2.57,1.51
DE,Hohenpeissenberg,47.80,11.02,4.48,7.32,11.37,13.74,17.24,18.55,20.93,16.64,11.04,7.98,4.84,3.45
DE,Kassel,51.30,9.45,2.49,4.80,8.70,12.95,16.26,18.21,17.83,16.00,10.11,5.43,2.46,1.79
DE,Lüdenscheid,51.22,7.63,2.62,4.48,7.90,12.62,15.45,17.56,17.18,15.01,9.09,5.88,2.70,1.92
DE,Lindenberg,52.22,14.12,2.59,4.74,8.80,15.56,18.63,20.50,19.27,16.06,11.65,6.71,2.99,1.84
DE,List,55.02,8.42,2.06,4.14,8.61,14.26,17.99,20.03,20.43,17.14,9.68,5.42,2.52,1.50
DE,Mannheim,49.52,8.55,2.88,5.49,9.34,14.17,17.75,19.15,18.84,17.03,10.79,6.45,3.14,2.07
DE,Nürnberg,49.50,11.08,3.08,5.77,9.46,12.84,17.58,18.57,18.32,16.18,9.43,6.34,2.88,2.25
DE,Neubrandenburg,53.55,13.20,2.21,4.23,8.84,13.27,17.33,18.89,19.51,16.26,9.58,6.09,2.57,1.64
DE,Norderney,53.72,7.15,2.32,4.43,8.93,14.29,18.11,19.05,20.17,17.13,10.33,5.88,2.65,1.68
DE,Osnabrück,52.25,8.05,2.55,4.38,8.11,12.66,16.30,17.77,18.40,16.17,9.82,6.10,2.75,1.71
DE,Passau,48.58,13.47,3.07,6.17,9.35,13.27,17.81,18.32,21.22,16.04,10.62,7.31,3.11,2.48
DE,Potsdam,52.37,13.08,2.41,4.69,8.92,13.48,16.93,18.95,18.64,16.98,10.44,5.97,2.65,1.68
DE,Saarbrücken,49.22,7.12,2.94,5.37,9.33,13.98,18.03,20.15,19.60,17.25,11.11,6.75,3.13,2.13
DE,Schleswig,54.53,9.55,1.98,3.35,8.07,11.68,17.24,19.04,19.21,15.70,8.42,5.30,2.43,1.31
DE,Stuttgart,48.83,9.20,3.32,6.11,9.85,14.42,18.06,18.39,18.98,17.26,11.65,6.61,3.75,2.46
DE,Trier,49.75,6.67,2.70,4.93,9.30,14.35,17.71,20.63,18.95,16.19,11.84,6.61,2.99,1.96
DE,Würzburg,49.77,9.97,2.99,5.70,9.62,15.12,18.13,20.97,19.77,16.92,11.93,6.98,3.15,2.24
DE,Weihenstephan,48.40,11.70,3.62,6.69,10.53,15.48,19.11,21.20,20.55,17.01,12.30,7.54,3.90,2.90
DE,Weimar,50.98,11.32,2.69,5.34,8.37,12.59,16.05,17.20,16.66,15.76,9.73,5.60,2.79,1.97
DE,Weissenburg,49.02,10.97,3.14,6.01,9.44,13.45,18.51,19.57,19.20,17.26,11.10,6.78,3.13,2.29
DE,Zinnwald,50.73,13.75,2.96,6.20,9.91,13.50,16.96,17.34,18.66,16.45,10.04,6.74,2.75,2.20
