"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
ES,"A Coruña",43.35,-8.42,5.02,8.51,12.70,16.68,19.25,22.13,22.04,19.81,15.50,9.68,5.69,4.47
ES,Albacete,39.00,-1.87,7.82,10.88,15.29,20.22,23.41,26.64,27.94,24.24,18.63,13.09,9.32,6.91
ES,"Alicante Arpt",38.28,-0.55,8.98,11.48,15.76,20.62,23.04,26.03,25.61,23.04,17.60,13.47,9.34,7.66
ES,"Almería Arpt",36.85,-2.38,9.57,13.09,18.05,22.02,24.73,27.70,26.94,23.82,19.04,14.11,10.69,8.66
ES,"Almeria Arpt",36.85,-2.38,9.08,14.47,17.30,21.27,23.94,27.33,28.02,25.89,21.49,15.33,10.65,9.89
ES,Arenosillo,37.10,-6.73,8.75,13.98,17.42,20.23,24.95,29.37,29.04,24.73,21.12,16.55,10.26,9.77
ES,Badajoz,38.88,-7.02,7.85,11.13,16.01,20.33,24.71,27.40,28.66,24.77,19.36,13.25,8.81,6.80
ES,Barcelona,41.38,2.20,7.16,10.82,15.19,19.29,22.15,24.74,24.94,21.18,16.54,11.85,7.95,6.26
ES,"Barcelona Arpt",41.30,2.05,7.08,10.19,14.70,19.17,23.27,25.67,25.20,21.93,17.06,11.85,7.75,6.28
ES,"Bilbao - Sondica Arpt",43.30,-2.90,4.83,7.75,11.96,15.64,18.38,19.65,19.41,17.06,14.03,9.26,5.42,4.16
ES,Cáceres,39.47,-6.33,7.41,11.70,17.84,20.61,23.08,27.54,27.74,24.89,19.03,13.15,8.33,5.64
ES,Cádiz,36.53,-6.28,8.62,13.37,18.04,22.06,24.82,28.10,26.81,23.71,18.94,14.95,10.34,7.68
ES,"Ciudad Real",38.98,-3.92,7.25,11.04,15.63,19.39,23.25,26.57,27.79,24.42,18.52,12.93,8.62,6.58
ES,"Cordoba Arpt",37.83,-4.85,6.95,8.87,14.63,20.19,26.18,25.93,27.14,24.18,19.30,13.52,8.38,6.17
ES,"Gerona Arpt",41.90,2.75,7.26,9.54,13.17,17.29,20.62,22.82,22.09,19.90,15.87,10.63,7.23,6.00
ES,"Granada - Armilla",37.13,-3.63,9.12,11.77,15.63,22.03,23.72,27.99,27.89,24.90,19.61,13.99,9.83,8.08
ES,"Granada Arpt",37.18,-3.78,8.84,11.51,16.34,20.36,23.91,27.51,28.10,24.98,19.18,13.90,9.73,7.94
ES,"Hondarribia Arpt",43.35,-1.78,4.57,7.25,11.26,16.34,19.29,20.03,19.15,17.15,14.02,10.55,6.26,4.11
ES,Huelva,37.28,-6.92,8.54,12.17,17.62,21.45,24.59,28.04,28.43,24.81,19.20,14.55,10.49,7.93
ES,Ibiza,38.87,1.37,7.80,10.94,15.61,20.31,23.05,25.91,26.14,22.90,17.87,12.63,8.51,6.94
ES,Jerez,36.73,-6.07,8.95,11.86,17.13,20.70,24.10,26.80,27.89,24.33,18.73,14.13,9.97,8.07
ES,"Leon Arpt",42.58,-5.65,6.29,10.53,15.47,18.34,22.16,26.29,27.33,23.53,17.73,11.77,7.57,5.76
ES,Lleida,41.62,0.60,6.05,10.79,15.97,20.02,23.29,26.38,26.46,23.02,17.85,12.09,7.70,5.49
ES,"Logroño - Agoncillo Arpt",42.45,-2.33,5.47,8.86,13.60,18.07,20.74,23.64,24.57,20.86,16.28,10.54,6.37,4.86
ES,"Madrid - Barajas Arpt",40.45,-3.55,6.98,10.86,15.42,20.34,23.10,26.26,27.71,24.59,18.46,12.43,7.53,6.50
ES,"Madrid Univ",40.45,-3.73,7.10,10.83,15.93,19.91,22.75,26.78,27.62,24.22,18.33,12.14,8.12,6.05
ES,"Madrid Univ.",40.45,-3.73,7.23,11.98,12.62,20.30,24.22,28.00,28.61,24.65,20.46,14.63,6.83,7.63
ES,Málaga,36.72,-4.48,9.69,12.27,16.29,20.74,24.36,27.60,27.29,24.07,19.66,13.66,10.25,8.78
ES,Murcia,38.00,-1.17,8.90,12.21,16.48,20.98,24.04,27.03,27.13,23.67,18.30,13.48,9.68,7.70
ES,Oviedo,43.35,-5.87,5.53,8.55,12.24,15.48,16.64,17.93,17.54,15.68,13.65,9.50,5.91,4.87
ES,"Palma De Mallorca",39.55,2.62,7.51,11.68,16.13,19.83,23.77,26.42,25.96,23.22,17.34,12.87,8.64,6.62
ES,"Pamplona - Noain Arpt",42.77,-1.63,5.80,9.12,13.25,17.42,21.91,23.70,26.89,21.70,16.93,11.94,6.88,5.02
ES,Ponferrada,42.57,-6.60,5.72,9.30,13.13,20.18,23.73,26.79,25.53,21.84,17.08,12.42,5.93,4.72
ES,"Roquetes Tortosa",40.82,0.50,7.64,9.70,16.03,17.85,21.28,24.51,24.71,21.10,16.02,11.95,9.36,6.09
ES,Salamanca,40.95,-5.92,6.59,10.41,15.02,19.62,23.40,26.61,28.16,24.16,18.81,12.25,7.60,5.94
